day,price
0,19.299999237060547
1,20.5
2,20.209999084472656
3,21.010000228881836
4,21.5
5,22.15999984741211
6,22.200000762939453
7,22.579999923706055
8,22.149999618530273
9,22.209999084472656
10,21.979999542236328
11,21.760000228881836
12,21.709999084472656
13,22.270000457763672
14,22.079999923706055
15,21.489999771118164
16,21.3799991607666
17,21.020000457763672
18,21.959999084472656
19,22.309999465942383
20,22.0
21,22.31999969482422
22,22.559999465942383
23,23.899999618530273
24,24.68000030517578
25,25.020000457763672
26,27.549999237060547
27,27.8700008392334
28,28.799999237060547
29,28.93000030517578
30,29.43000030517578
31,31.299999237060547
32,32.79999923706055
33,33.349998474121094
34,33.75
35,33.880001068115234
36,33.599998474121094
37,34.31999969482422
38,33.04999923706055
39,31.989999771118164
40,32.5
41,33.040000915527344
42,32.849998474121094
43,33.40999984741211
44,32.900001525878906
45,33.59000015258789
46,34.279998779296875
47,34.279998779296875
48,32.349998474121094
49,33.619998931884766
50,33.95000076293945
51,33.65999984741211
52,33.880001068115234
53,33.7599983215332
54,33.25
55,33.540000915527344
56,33.630001068115234
57,35.150001525878906
58,35.25
59,35.31999969482422
60,36.5099983215332
61,36.83000183105469
62,37.72999954223633
63,37.459999084472656
64,37.45000076293945
65,37.380001068115234
66,37.13999938964844
67,37.45000076293945
68,39.20000076293945
69,39.709999084472656
70,39.0
71,38.61000061035156
72,37.79999923706055
73,34.79999923706055
74,34.9900016784668
75,34.04999923706055
76,30.0
77,31.0
78,30.389999389648438
79,29.239999771118164
80,29.420000076293945
81,31.020000457763672
82,31.0
83,30.25
84,28.889999389648438
85,29.0
86,29.34000015258789
87,29.3799991607666
88,30.010000228881836
89,29.549999237060547
90,29.270000457763672
91,29.0
92,29.989999771118164
93,30.350000381469727
94,30.0
95,31.170000076293945
96,32.79999923706055
97,33.75
98,33.380001068115234
99,33.150001525878906
100,32.5
101,33.63999938964844
102,34.650001525878906
103,33.52000045776367
104,33.349998474121094
105,33.09000015258789
106,32.79999923706055
107,32.900001525878906
108,31.8700008392334
109,31.809999465942383
110,32.40999984741211
111,33.459999084472656
112,32.849998474121094
113,33.2599983215332
114,33.04999923706055
115,34.099998474121094
116,35.06999969482422
117,35.16999816894531
118,35.43000030517578
119,36.95000076293945
120,36.97999954223633
121,39.599998474121094
122,39.11000061035156
123,38.709999084472656
124,39.16999816894531
125,37.56999969482422
126,37.709999084472656
127,37.4900016784668
128,40.0
129,39.599998474121094
130,39.47999954223633
131,39.47999954223633
132,40.150001525878906
133,39.650001525878906
134,37.91999816894531
135,37.5
136,37.5
137,38.630001068115234
138,36.900001525878906
139,37.04999923706055
140,38.439998626708984
141,38.0
142,37.72999954223633
143,41.900001525878906
144,42.72999954223633
145,42.9900016784668
